country,cabr,year,cut,subcut,indicator,value,se,N,method
Viet Nam2023,VNM,2023.0,All,All,bready_reg12,87.24377441,1.1907271,906.0,Global
Viet Nam2023,VNM,2023.0,All,All,reg2_c,1.68016243,0.11580165,300.0,Global
Viet Nam2023,VNM,2023.0,All,All,reg4,5.328114033,1.3005314,1003.0,Global
Viet Nam2023,VNM,2023.0,All,All,reg5,2.766433477,0.8936633,1004.0,Global
Viet Nam2023,VNM,2023.0,All,All,reg6,23.38813591,2.2288415,1015.0,Global
Viet Nam2023,VNM,2023.0,All,All,reg8,6.05265379,1.1634978,906.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_reg9,35.39429855,6.9803944,116.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_t1,6.791888714,1.0173092,999.0,Global
Viet Nam2023,VNM,2023.0,All,All,t10,5.112529278,1.3290179,658.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_t11,.9470684528,0.52714956,666.0,Global
Viet Nam2023,VNM,2023.0,All,All,t3,76.28061676,1.8177226,521.0,Global
Viet Nam2023,VNM,2023.0,All,All,t4,10.73383904,2.069991,555.0,Global
Viet Nam2023,VNM,2023.0,All,All,t5,44.13063812,2.818312,1028.0,Global
Viet Nam2023,VNM,2023.0,All,All,t7,7.540329456,1.3641585,1022.0,Global
Viet Nam2023,VNM,2023.0,All,All,t8,67.17316437,5.235757,112.0,Global
Viet Nam2023,VNM,2023.0,All,All,t9,7.450608253,1.4765173,1011.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_tax1_median,96,26.123043,805.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_tax2,99.57717133,0.20831692,1028.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_tax3,98.96431732,0.66633564,1026.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_tax4_median,2,0.25526816,54.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_tax5_median,4,0.92644376,222.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_tax6,17.28505135,3.5222962,335.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_tax7,13.58912182,0.58748513,926.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_tax8,13.21629429,0.556019,914.0,Global
Viet Nam2023,VNM,2023.0,All,All,tr1,3.962105989,0.6977406,154.0,Global
Viet Nam2023,VNM,2023.0,All,All,tr16,5.441356659,0.85861814,1024.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_tr18_median,4,1.520149,163.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_tr19,24.15423393,9.37963,183.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_tr20,6.646530151,1.184327,104.0,Global
Viet Nam2023,VNM,2023.0,All,All,tr21,38.84089661,5.4594545,365.0,Global
Viet Nam2023,VNM,2023.0,All,All,tr22,18.10745049,1.8900328,1008.0,Global
Viet Nam2023,VNM,2023.0,All,All,tr23,8.129439354,2.673021,166.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_tr24_median,7,3.649536,165.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_tr25,5.60398674,0.78679246,97.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_tr26,89.13232422,1.4307113,944.0,Global
Viet Nam2023,VNM,2023.0,All,All,tr5,4.06884861,0.7716843,1024.0,Global
Viet Nam2023,VNM,2023.0,All,All,tr9,3.710850716,1.3367873,944.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_wk1,8.668679237,1.5339687,1021.0,Global
Viet Nam2023,VNM,2023.0,All,All,wk10,12.88965893,1.854227,1003.0,Global
Viet Nam2023,VNM,2023.0,All,All,wk15,75.17069244,0.7178971,552.0,Global
Viet Nam2023,VNM,2023.0,All,All,wk19,75.90488434,2.2654917,521.0,Global
Viet Nam2023,VNM,2023.0,All,All,wk2,65.70973969,7.0226455,113.0,Global
Viet Nam2023,VNM,2023.0,All,All,wk20,92.61758423,1.5130677,1021.0,Global
Viet Nam2023,VNM,2023.0,All,All,wk21,53.97428894,8.728849,1028.0,Global
Viet Nam2023,VNM,2023.0,All,All,wk22,87.29341125,1.0731242,1022.0,Global
Viet Nam2023,VNM,2023.0,All,All,wk23,78.29361725,2.1366663,786.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_wk24,4.787442207,0.5200932,167.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_wk25,1.10946238,0.14711599,153.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_wk26,.2406664789,0.12711127,1022.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_wk27,2.105543852,,4.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_wk28,89.57204437,0.99204785,1008.0,Global
Viet Nam2023,VNM,2023.0,All,All,wk8,14.87676239,0.4303958,968.0,Global
Viet Nam2023,VNM,2023.0,All,All,wk9,2.207760811,0.8079752,1008.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,_sample,1,0.0,174.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,bus1,15.52416134,4.263504,23.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,bus2,12.22453403,0.1710472,7.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,bready_bus3_median,7,22.466179,11.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,bus5,3.618299246,2.454258,170.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,car1,15.33064747,1.1343113,174.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,car2,69.96025085,8.186541,173.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,car7,29.85411263,8.1818075,173.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,car8,1.023707986,0.56152093,173.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,bready_comp1,70.66011047,11.034858,24.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,bready_comp2,0,0.0,33.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,bready_comp3,0,0.0,33.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,bready_comp4,100,0.0,33.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,bready_comp5,92.37770081,2.8543112,145.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,bready_comp6,0,0.0,157.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,bready_comp7,67.97520447,6.699465,156.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,bready_comp8,77.18671417,7.962697,157.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,bready_comp9,79.81626129,23.787916,11.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,corr1,20.76075172,13.189837,58.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,corr10,0,0.0,6.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,corr11,9.120340347,6.344204,160.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,corr2,.,,,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,corr4,18.67375374,5.4180803,147.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,corr6,14.400177,6.1140137,13.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,corr7,0,0.0,13.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,corr8,25.24398613,4.355263,17.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,corr9,25.90956116,22.904558,23.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,crime9,1.242510438,0.7112825,153.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,disp1,1.088110328,0.6729622,168.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,disp2,85.22023773,12.2836895,4.0,Global
